avg_cluster_size	consistency	t	combo
535	0.23447391929156794	1.372361421585083	ba + he + hy
540	0.2449605779314095	1.6034214496612549	ba + he + hy
545	0.2449605779314095	1.3497021198272705	ba + he + hy
550	0.26094302248805684	1.3501360416412354	ba + he + hy
555	0.26094302248805684	1.345118522644043	ba + he + hy
560	0.26094302248805684	1.3373055458068848	ba + he + hy
565	0.26566201887598556	1.3583276271820068	ba + he + hy
570	0.26566201887598556	1.4119765758514404	ba + he + hy
575	0.253272225890395	1.3846142292022705	ba + he + hy
580	0.253272225890395	1.341982126235962	ba + he + hy
585	0.2599720355769604	1.3249166011810303	ba + he + hy
590	0.2599720355769604	1.4172728061676025	ba + he + hy
595	0.2599720355769604	1.4168915748596191	ba + he + hy
600	0.26653590709597236	1.580012321472168	ba + he + hy
605	0.26653590709597236	1.344832181930542	ba + he + hy
610	0.24633937934516642	1.363823413848877	ba + he + hy
615	0.24633937934516642	1.3584601879119873	ba + he + hy
620	0.24633937934516642	1.4296352863311768	ba + he + hy
625	0.2423389132714491	1.415849208831787	ba + he + hy
630	0.2423389132714491	1.4154095649719238	ba + he + hy
635	0.2423389132714491	1.3412413597106934	ba + he + hy
640	0.262535441022255	1.3389809131622314	ba + he + hy
645	0.262535441022255	1.331188440322876	ba + he + hy
650	0.26249660154581117	1.333984375	ba + he + hy
655	0.26249660154581117	1.3225271701812744	ba + he + hy
660	0.26249660154581117	1.335566759109497	ba + he + hy
665	0.27234240882432903	1.3319971561431885	ba + he + hy
670	0.27234240882432903	1.4649369716644287	ba + he + hy
675	0.27234240882432903	1.3472342491149902	ba + he + hy
680	0.27234240882432903	1.3274126052856445	ba + he + hy
685	0.2721287917038878	1.3354315757751465	ba + he + hy
690	0.2721287917038878	1.3356001377105713	ba + he + hy
695	0.2721287917038878	1.363473892211914	ba + he + hy
700	0.27282790227987724	1.556760311126709	ba + he + hy
705	0.27282790227987724	1.3389155864715576	ba + he + hy
710	0.27282790227987724	1.3588249683380127	ba + he + hy
715	0.25313628772284147	1.4160683155059814	ba + he + hy
720	0.25313628772284147	1.4219436645507812	ba + he + hy
725	0.25313628772284147	1.4648551940917969	ba + he + hy
730	0.25313628772284147	1.4669971466064453	ba + he + hy
735	0.2624383423311454	1.338036298751831	ba + he + hy
740	0.2624383423311454	1.353644847869873	ba + he + hy
745	0.2624383423311454	1.346198320388794	ba + he + hy
750	0.2624383423311454	1.3387410640716553	ba + he + hy
755	0.24397017128209111	1.3421084880828857	ba + he + hy
760	0.24397017128209111	1.3411955833435059	ba + he + hy
765	0.24397017128209111	1.412130355834961	ba + he + hy
770	0.24397017128209111	1.4111101627349854	ba + he + hy
775	0.27599331961005164	1.3354411125183105	ba + he + hy
780	0.27599331961005164	1.3249311447143555	ba + he + hy
785	0.27599331961005164	1.329472541809082	ba + he + hy
790	0.27599331961005164	1.3497240543365479	ba + he + hy
795	0.2615644541111586	1.3808255195617676	ba + he + hy
800	0.2615644541111586	1.3943235874176025	ba + he + hy
805	0.2615644541111586	1.3894431591033936	ba + he + hy
810	0.2615644541111586	1.5867335796356201	ba + he + hy
815	0.2615644541111586	1.3257865905761719	ba + he + hy
820	0.27612925777760516	1.3250911235809326	ba + he + hy
825	0.27612925777760516	1.3666408061981201	ba + he + hy
830	0.27612925777760516	1.4218964576721191	ba + he + hy
835	0.27612925777760516	1.4283437728881836	ba + he + hy
840	0.27612925777760516	1.4591269493103027	ba + he + hy
845	0.2478735386646988	1.45782470703125	ba + he + hy
850	0.2478735386646988	1.468080997467041	ba + he + hy
855	0.2478735386646988	1.3408081531524658	ba + he + hy
860	0.2478735386646988	1.3279354572296143	ba + he + hy
865	0.2478735386646988	1.4392080307006836	ba + he + hy
870	0.26795354798617316	1.3937225341796875	ba + he + hy
875	0.26795354798617316	1.3320140838623047	ba + he + hy
880	0.26795354798617316	1.327408790588379	ba + he + hy
