actual	baseline	metrics	n	dm	t
0.40764331210191085	0.09554140127388536	purity_90	4700	Hamming	0.3327455520629883
0.19130434782608696	0.13260869565217392	consistency	4700	Hamming	0.3327455520629883
0.10297872340425532	0.10297872340425532	retention	4700	Levenshtein	3.9873263835906982
0.5981651376146789	0.45321100917431195	purity	4700	Levenshtein	3.9873263835906982
0.3630952380952381	0.07142857142857142	purity_90	4700	Levenshtein	3.9873263835906982
0.1944954128440367	0.14495412844036698	consistency	4700	Levenshtein	3.9873263835906982
0.10083333333333333	0.10083333333333333	retention	4800	Hamming	0.3531508445739746
0.6397058823529411	0.44669117647058826	purity	4800	Hamming	0.3531508445739746
0.3181818181818182	0.07386363636363637	purity_90	4800	Hamming	0.3531508445739746
0.20955882352941177	0.1488970588235294	consistency	4800	Hamming	0.3531508445739746
0.118125	0.118125	retention	4800	Levenshtein	4.093533039093018
0.5847589424572317	0.4307931570762053	purity	4800	Levenshtein	4.093533039093018
0.29473684210526313	0.06315789473684211	purity_90	4800	Levenshtein	4.093533039093018
0.18662519440124417	0.12286158631415241	consistency	4800	Levenshtein	4.093533039093018
0.09612244897959184	0.09612244897959184	retention	4900	Hamming	0.37714362144470215
0.6449814126394052	0.44052044609665425	purity	4900	Hamming	0.37714362144470215
0.3675675675675676	0.05405405405405406	purity_90	4900	Hamming	0.37714362144470215
0.2100371747211896	0.12825278810408922	consistency	4900	Hamming	0.37714362144470215
0.11346938775510204	0.11346938775510204	retention	4900	Levenshtein	4.380998611450195
0.5984126984126984	0.44761904761904764	purity	4900	Levenshtein	4.380998611450195
0.34517766497461927	0.08121827411167512	purity_90	4900	Levenshtein	4.380998611450195
0.19523809523809524	0.13968253968253969	consistency	4900	Levenshtein	4.380998611450195
0.1044	0.1044	retention	5000	Hamming	0.3718142509460449
0.6232638888888888	0.4427083333333333	purity	5000	Hamming	0.3718142509460449
0.3553299492385787	0.07614213197969544	purity_90	5000	Hamming	0.3718142509460449
0.2013888888888889	0.1388888888888889	consistency	5000	Hamming	0.3718142509460449
0.1238	0.1238	retention	5000	Levenshtein	4.508856534957886
0.5818713450292398	0.4327485380116959	purity	5000	Levenshtein	4.508856534957886
0.33980582524271846	0.0825242718446602	purity_90	5000	Levenshtein	4.508856534957886
0.19444444444444445	0.14473684210526316	consistency	5000	Levenshtein	4.508856534957886
0.10058823529411764	0.10058823529411764	retention	5100	Hamming	0.3778982162475586
0.6784452296819788	0.4717314487632509	purity	5100	Hamming	0.3778982162475586
0.42346938775510207	0.08673469387755102	purity_90	5100	Hamming	0.3778982162475586
0.26148409893992935	0.1501766784452297	consistency	5100	Hamming	0.3778982162475586
0.11901960784313725	0.11901960784313725	retention	5100	Levenshtein	4.703551769256592
0.6339285714285714	0.44642857142857145	purity	5100	Levenshtein	4.703551769256592
0.3925233644859813	0.07476635514018691	purity_90	5100	Levenshtein	4.703551769256592
0.22172619047619047	0.12648809523809523	consistency	5100	Levenshtein	4.703551769256592
0.09884615384615385	0.09884615384615385	retention	5200	Hamming	0.3668477535247803
0.6457242582897034	0.4328097731239092	purity	5200	Hamming	0.3668477535247803
0.3817204301075269	0.06451612903225806	purity_90	5200	Hamming	0.3668477535247803
0.24956369982547993	0.13787085514834205	consistency	5200	Hamming	0.3668477535247803
0.12153846153846154	0.12153846153846154	retention	5200	Levenshtein	4.7242865562438965
0.5945945945945946	0.41536273115220484	purity	5200	Levenshtein	4.7242865562438965
0.34615384615384615	0.09134615384615384	purity_90	5200	Levenshtein	4.7242865562438965
0.21763869132290184	0.13655761024182078	consistency	5200	Levenshtein	4.7242865562438965
0.10169811320754717	0.10169811320754717	retention	5300	Hamming	0.4663853645324707
0.6436974789915967	0.4689075630252101	purity	5300	Hamming	0.4663853645324707
0.3786407766990291	0.08737864077669903	purity_90	5300	Hamming	0.4663853645324707
0.1865546218487395	0.12605042016806722	consistency	5300	Hamming	0.4663853645324707
0.12509433962264152	0.12509433962264152	retention	5300	Levenshtein	5.213274240493774
0.5961800818553888	0.451568894952251	purity	5300	Levenshtein	5.213274240493774
0.35807860262008734	0.09606986899563319	purity_90	5300	Levenshtein	5.213274240493774
0.16371077762619374	0.11323328785811733	consistency	5300	Levenshtein	5.213274240493774
0.10833333333333334	0.10833333333333334	retention	5400	Hamming	0.4524862766265869
0.6529680365296804	0.4535768645357686	purity	5400	Hamming	0.4524862766265869
0.4146341463414634	0.08292682926829269	purity_90	5400	Hamming	0.4524862766265869
0.2100456621004566	0.1293759512937595	consistency	5400	Hamming	0.4524862766265869
0.13592592592592592	0.13592592592592592	retention	5400	Levenshtein	5.314953327178955
0.5975903614457831	0.43734939759036146	purity	5400	Levenshtein	5.314953327178955
0.358974358974359	0.08547008547008547	purity_90	5400	Levenshtein	5.314953327178955
0.1746987951807229	0.13253012048192772	consistency	5400	Levenshtein	5.314953327178955
